,lines,n_stops,group
0,161/1,31,100
1,161/2,29,100
2,14/1,35,100
3,162/1,30,100
4,162/2,21,100
5,83/2,28,100
6,133/2,33,100
7,125/1,20,100
8,125/2,22,100
9,172/1,43,100
10,172/2,39,100
11,372/1,40,100
12,372/2,37,100
13,5/2,28,100
14,27/2,26,100
15,147/2,38,100
16,522/2,27,300
17,524/2,36,300
18,5/1,30,100
19,27/1,28,100
20,147/1,39,100
21,522/1,35,300
22,524/1,45,300
23,70/1,29,100
24,107/1,24,100
25,129/1,24,100
26,66/2,31,100
27,70/2,37,100
28,107/2,24,100
29,129/2,23,100
30,174/2,27,100
31,40/2,32,100
32,40/1,29,100
33,126/1,26,100
34,126/2,26,100
35,105/1,34,100
36,14/2,35,100
37,150/2,45,100
38,150/1,45,100
39,120/1,35,100
40,120/2,34,100
41,7/2,31,100
42,7/1,34,100
43,45/2,29,100
44,501/2,28,300
45,16/1,30,100
46,45/1,26,100
47,501/1,43,300
48,525/1,25,300
49,526/1,33,300
50,53/1,29,100
51,504/1,30,300
52,523/1,39,300
53,525/2,24,300
54,526/2,29,300
55,37/1,24,100
56,53/2,29,100
57,1/2,29,100
58,2/1,30,100
59,9/2,36,100
60,15/2,20,100
61,20/2,27,100
62,51/2,20,100
63,52/2,21,100
64,74/2,27,100
65,146/2,30,100
66,203/2,6,other
67,516/1,39,300
68,516/2,37,300
69,517/1,36,300
70,517/2,36,300
71,518/1,27,300
72,518/2,26,300
73,519/1,33,300
74,519/2,35,300
75,1/1,28,100
76,2/2,28,100
77,9/1,35,100
78,15/1,19,100
79,20/1,34,100
80,51/1,26,100
81,52/1,24,100
82,74/1,25,100
83,146/1,32,100
84,505/1,42,300
85,505/2,41,300
86,506/1,30,300
87,506/2,29,300
88,507/1,35,300
89,507/2,36,300
90,502/1,35,300
91,502/2,27,300
92,503/1,32,300
93,503/2,31,300
94,37/2,25,100
95,504/2,34,300
96,523/2,39,300
97,34/1,41,100
98,34/2,41,100
99,10/1,32,100
100,509/1,34,300
101,510/1,26,300
102,511/1,27,300
103,512/1,36,300
104,513/1,24,300
105,514/1,31,300
106,515/1,29,300
107,10/2,33,100
108,509/2,40,300
109,510/2,19,300
110,511/2,26,300
111,512/2,34,300
112,513/2,28,300
113,514/2,35,300
114,515/2,27,300
115,68/1,32,100
116,36/1,32,100
117,41/1,21,100
118,119/1,28,100
119,36/2,28,100
120,41/2,21,100
121,69/2,30,100
122,119/2,30,100
123,6/2,26,100
124,19/2,24,100
125,102/2,30,100
126,148/2,29,100
127,49/2,31,100
128,132/2,41,100
129,137/2,41,100
130,16/2,29,100
131,29/2,35,100
132,29/1,29,100
133,143/1,27,100
134,143/2,26,100
135,156/1,21,100
136,156/2,20,100
137,56/1,18,100
138,71/1,42,100
139,56/2,17,100
140,71/2,40,100
141,30/1,34,100
142,30/2,34,100
143,28/2,29,100
144,28/1,30,100
145,203/1,6,other
146,402/1,12,100
147,403/1,9,100
148,527/1,5,other
149,508/2,28,300
150,508/1,32,300
151,46/2,22,100
152,602/2,13,100
153,46/1,22,100
154,520/1,36,300
155,521/1,37,300
156,520/2,33,300
157,521/2,33,300
158,44/1,26,100
159,75/1,15,100
160,133/1,39,100
161,148/1,29,100
162,3/2,31,100
163,68/2,27,100
164,44/2,25,100
165,69/1,30,100
166,91/2,11,200
167,12/1,23,100
168,152/2,16,100
169,152/1,17,100
170,11/2,25,100
171,11/1,23,100
172,72/2,28,100
173,73/2,29,100
174,122/2,31,100
175,122/1,30,100
176,21/1,35,100
177,114/2,27,100
178,48/1,37,100
179,48/2,34,100
180,4/2,27,100
181,38/2,33,100
182,105/2,35,100
183,4/1,26,100
184,38/1,33,100
185,106/2,36,100
186,106/1,36,100
187,176/1,24,100
188,176/2,25,100
189,3/1,28,100
190,602/1,15,100
191,6/1,31,100
192,131/1,30,100
193,87/1,21,100
194,87/2,28,100
195,43/2,28,100
196,43/1,28,100
197,72/1,27,100
198,62/2,28,100
199,116/1,44,100
200,118/1,36,100
201,62/1,30,100
202,116/2,43,100
203,118/2,35,100
204,35/1,39,100
205,35/2,39,100
206,139/1,23,100
207,139/2,24,100
208,155/1,27,100
209,155/2,28,100
210,17/1,36,100
211,17/2,34,100
212,39/2,32,100
213,117/2,7,100
214,39/1,33,100
215,117/1,14,100
216,47/2,35,100
217,47/1,37,100
218,112/1,29,100
219,112/2,28,100
220,73/1,26,100
221,19/1,25,100
222,153/1,33,100
223,153/2,34,100
224,61/1,24,100
225,61/2,25,100
226,12/2,20,100
227,18/1,29,100
228,23/1,32,100
229,18/2,31,100
230,23/2,31,100
231,60/1,28,100
232,25/2,32,100
233,64/1,27,100
234,64/2,24,100
235,124/2,33,100
236,25/1,31,100
237,138/1,28,100
238,75/2,14,100
239,138/2,26,100
240,33/1,15,100
241,33/2,17,100
242,31/1,26,100
243,31/2,27,100
244,121/2,32,100
245,121/1,33,100
246,55/2,33,100
247,131/2,31,100
248,21/2,33,100
249,110/2,27,100
250,210/2,19,100
251,110/1,21,100
252,210/1,17,100
253,82/1,31,100
254,132/1,43,100
255,402/2,11,100
256,403/2,9,100
257,26/2,21,100
258,63/1,27,100
259,26/1,18,100
260,63/2,27,100
261,32/1,32,100
262,32/2,32,100
263,113/1,27,100
264,8/1,39,100
265,8/2,40,100
266,100/1,27,100
267,100/2,29,100
268,142/2,34,100
269,144/2,24,100
270,65/1,26,100
271,65/2,25,100
272,123/1,29,100
273,123/2,26,100
274,78/2,36,100
275,78/1,37,100
276,178/2,21,100
277,113/2,27,100
278,140/2,30,100
279,58/1,32,100
280,58/2,22,100
281,111/1,16,100
282,111/2,17,100
283,54/1,37,100
284,57/1,25,100
285,136/1,20,100
286,24/2,24,100
287,54/2,34,100
288,57/2,25,100
289,136/2,19,100
290,310/2,19,100
291,103/1,35,100
292,103/2,37,100
293,142/1,35,100
294,134/1,32,100
295,178/1,20,100
296,134/2,37,100
297,90/1,10,200
298,90/2,9,200
299,130/2,37,100
300,454/1,12,100
301,454/2,12,100
302,481/1,5,100
303,481/2,3,100
304,140/1,30,100
305,130/1,37,100
306,102/1,25,100
307,24/1,24,100
308,310/1,19,100
309,144/1,27,100
310,22/1,23,100
311,59/1,23,100
312,76/1,20,100
313,79/1,30,100
314,85/1,33,100
315,86/1,24,100
316,22/2,24,100
317,59/2,22,100
318,76/2,22,100
319,79/2,34,100
320,85/2,32,100
321,86/2,27,100
322,766/1,2,100
323,766/2,2,100
324,247/1,20,100
325,247/2,20,100
326,115/2,26,100
327,77/1,30,100
328,77/2,30,100
329,104/1,23,100
330,104/2,23,100
331,109/1,17,100
332,109/2,18,100
333,115/1,23,100
334,200/1,6,100
335,200/2,7,100
336,114/1,31,100
337,101/2,14,100
338,151/2,22,100
339,151/1,23,100
340,101/1,15,100
341,82/2,32,100
342,83/1,29,100
343,160/1,32,100
344,92/2,8,200
345,99/2,12,200
346,49/1,33,100
347,67/2,31,100
348,127/1,27,100
349,67/1,27,100
350,124/1,33,100
351,127/2,30,100
352,128/1,18,100
353,137/1,40,100
354,128/2,16,100
355,149/2,22,100
356,149/1,22,100
357,141/1,21,100
358,141/2,21,100
359,91/1,16,200
360,66/1,33,100
361,457/1,8,100
362,704/1,18,100
363,135/1,8,100
364,173/1,15,100
365,174/1,16,100
366,42/1,22,100
367,42/2,22,100
368,135/2,11,100
369,173/2,16,100
370,177/1,15,100
371,92/1,15,200
372,99/1,11,200
373,60/2,29,100
374,457/2,5,100
375,601/1,11,100
376,55/1,29,100
377,401/2,8,100
378,81/1,22,100
379,81/2,22,100
380,601/2,10,100
381,215/2,12,100
382,215/1,10,100
383,50/1,16,100
384,50/2,15,100
385,108/2,22,100
386,108/1,20,100
387,401/1,7,100
388,145/1,26,100
389,145/2,21,100
390,704/2,15,100
391,453/1,13,100
392,453/2,14,100
393,180/2,3,100
394,455/1,13,100
395,455/2,13,100
396,96/1,7,200
397,96/2,8,200
398,93/1,6,200
399,93/2,8,200
400,160/2,23,100
401,456/1,13,100
402,456/2,13,100
403,527/2,5,other
404,180/1,2,100
405,799/1,13,100
406,799/2,12,100
407,451/1,10,100
408,451/2,9,100
409,702/1,6,100
410,702/2,5,100
411,177/2,11,100
412,452/1,6,100
413,452/2,7,100
414,730/1,2,100
415,730/2,2,100
416,661/1,2,other
417,661/2,2,other
